county_id,year,gas_station_count,gasoline_sales,diesel_sales
44,2021,84,88.0,7.0
45,2021,128,79.0,22.0
47,2021,45,28.0,18.0
48,2021,153,196.0,30.0
49,2021,150,181.0,30.0
50,2021,201,243.0,49.0
51,2021,39,34.0,4.0
52,2021,43,30.0,17.0
54,2021,229,181.0,66.0
55,2021,32,19.0,4.0
56,2021,196,294.0,35.0
57,2021,83,101.0,28.0
58,2021,46,40.0,12.0
1,2022,388,473.0,57.0
3,2022,27,13.0,3.0
4,2022,97,63.0,11.0
5,2022,28,15.0,4.0
6,2022,20,13.0,12.0
7,2022,293,396.0,29.0
8,2022,13,4.0,1.0
9,2022,84,66.0,12.0
10,2022,366,371.0,85.0
11,2022,22,14.0,21.0
12,2022,79,45.0,11.0
13,2022,85,66.0,30.0
14,2022,26,15.0,4.0
15,2022,390,395.0,226.0
16,2022,65,58.0,9.0
17,2022,40,18.0,5.0
18,2022,23,6.0,2.0
19,2022,2110,3070.0,295.0
20,2022,81,67.0,54.0
21,2022,67,86.0,5.0
22,2022,19,6.0,1.0
23,2022,60,36.0,10.0
24,2022,124,120.0,67.0
26,2022,22,6.0,1.0
27,2022,147,174.0,27.0
28,2022,41,49.0,7.0
29,2022,41,32.0,8.0
30,2022,675,1176.0,66.0
31,2022,129,169.0,26.0
32,2022,34,8.0,3.0
33,2022,609,981.0,173.0
34,2022,408,535.0,51.0
36,2022,655,915.0,258.0
37,2022,755,1146.0,115.0
38,2022,93,97.0,6.0
39,2022,256,317.0,128.0
40,2022,110,123.0,24.0
41,2022,203,265.0,15.0
42,2022,126,170.0,22.0
43,2022,413,573.0,44.0
44,2022,82,80.0,8.0
45,2022,127,77.0,22.0
47,2022,48,21.0,18.0
48,2022,152,190.0,32.0
49,2022,160,176.0,35.0
50,2022,203,220.0,56.0
51,2022,40,32.0,5.0
52,2022,42,27.0,26.0
54,2022,235,181.0,70.0
55,2022,29,20.0,3.0
56,2022,207,303.0,40.0
57,2022,92,106.0,39.0
58,2022,47,36.0,5.0
1,2023,386,468.0,55.0
3,2023,26,12.0,3.0
4,2023,100,71.0,12.0
5,2023,26,14.0,3.0
6,2023,24,11.0,18.0
7,2023,300,390.0,27.0
8,2023,13,4.0,1.0
9,2023,86,67.0,11.0
10,2023,380,372.0,81.0
11,2023,26,15.0,22.0
12,2023,78,42.0,12.0
13,2023,89,74.0,27.0
14,2023,25,15.0,3.0
