zip,county_id
90631,30
90632,30
90633,30
90637,19
90638,19
90639,19
90640,19
90650,19
90651,19
90652,19
90659,19
90660,19
90661,19
90662,19
90670,19
90671,19
90680,30
90701,19
90702,19
90703,19
90704,19
90706,19
90707,19
90710,19
90711,19
90712,19
90713,19
90714,19
90715,19
90716,19
90717,19
90720,30
90721,30
90723,19
90731,19
90732,19
90733,19
90734,19
90740,30
90742,30
90743,30
90744,19
90745,19
90746,19
90747,19
90748,19
90749,19
90755,19
90801,19
90802,19
90803,19
90804,19
90805,19
90806,19
90807,19
90808,19
90809,19
90810,19
90813,19
90814,19
90815,19
90822,19
90831,19
90832,19
90833,19
90834,19
90835,19
90840,19
90842,19
90844,19
90845,19
90846,19
90847,19
90848,19
90853,19
90888,19
90895,19
90899,19
91001,19
91003,19
91006,19
91007,19
91008,19
91009,19
91010,19
91011,19
91012,19
91016,19
91017,19
91020,19
91021,19
91023,19
91024,19
91025,19
91030,19
91031,19
91040,19
91041,19
91042,19
91043,19
91046,19
91066,19
91077,19
91101,19
91102,19
91103,19
91104,19
91105,19
91106,19
91107,19
91108,19
91109,19
91110,19
91114,19
91115,19
91116,19
91117,19
91118,19
91121,19
91123,19
91124,19
91125,19
91126,19
91129,19
91131,19
91182,19
91184,19
91185,19
91188,19
91189,19
91191,19
91199,19
91201,19
91202,19
91203,19
91204,19
91205,19
91206,19
91207,19
91208,19
91209,19
91210,19
91214,19
91221,19
91222,19
91224,19
91225,19
91226,19
91301,19
91302,19
91303,19
91304,19
91305,19
91306,19
91307,19
91308,19
91309,19
91310,19
91311,19
91313,19
91316,19
91319,56
91320,56
91321,19
91322,19
91324,19
91325,19
91326,19
91327,19
91328,19
91329,19
91330,19
91331,19
91333,19
91334,19
91335,19
91337,19
91340,19
91341,19
91342,19
91343,19
91344,19
91345,19
91346,19
91350,19
91351,19
91352,19
91353,19
91354,19
91355,19
91356,19
91357,19
91358,56
91359,19
91360,56
91361,56
91362,56
91363,19
91364,19
91365,19
91367,19
91371,19
91372,19
91376,19
91377,56
91380,19
91381,19
91382,19
91383,19
91384,19
91385,19
91386,19
91387,19
91388,19
91390,19
91392,19
91393,19
91394,19
91395,19
91396,19
91399,19
91401,19
91402,19
91403,19
91404,19
91405,19
91406,19
91407,19
91408,19
91409,19
91410,19
91411,19
91412,19
91413,19
91416,19
91423,19
91426,19
91436,19
91470,19
91482,19
91495,19
91496,19
91497,19
91499,19
91501,19
91502,19
91503,19
91504,19
91505,19
91506,19
91507,19
91508,19
91510,19
91521,19
91522,19
91523,19
91526,19
91601,19
91602,19
91603,19
91604,19
91605,19
91606,19
91607,19
91608,19
91609,19
91610,19
91611,19
91612,19
91614,19
91615,19
91616,19
91617,19
91618,19
91701,36
91702,19
91706,19
91708,36
91709,36
91710,36
91711,19
91714,19
91715,19
91716,19
91722,19
91723,19
91724,19
91729,36
91730,36
91731,19
91732,19
91733,19
91734,19
91735,19
91737,36
91739,36
91740,19
91741,19
91743,36
91744,19
91745,19
91746,19
91747,19
91748,19
91749,19
91750,19
91752,33
91754,19
91755,19
91756,19
91758,36
91759,36
91761,36
91762,36
91763,36
91764,36
91765,19
91766,19
91767,19
91768,19
91769,19
91770,19
91771,19
91772,19
91773,19
91775,19
91776,19
91778,19
91780,19
91784,36
91785,36
91786,36
91788,19
91789,19
91790,19
91791,19
91792,19
91793,19
91795,19
91797,19
91798,36
91799,19
91801,19
91802,19
91803,19
91804,19
91841,19
91896,19
91899,19
91901,37
91902,37
91903,37
91905,37
91906,37
91908,37
91909,37
91910,37
91911,37
91912,37
91913,37
91914,37
91915,37
91916,37
91917,37
91921,37
91931,37
91932,37
91933,37
91934,37
91935,37
91941,37
91942,37
91943,37
91944,37
91945,37
91946,37
91947,37
91948,37
91950,37
91951,37
91962,37
91963,37
91976,37
91977,37
91978,37
91979,37
91980,37
91987,37
91990,37
92003,37
92004,37
92007,37
92008,37
92009,37
92010,37
92011,37
92013,37
92014,37
92018,37
92019,37
92020,37
92021,37
92022,37
92023,37
92024,37
92025,37
92026,37
92027,37
92028,37
92029,37
92030,37
92033,37
92036,37
92037,37
92038,37
92039,37
92040,37
92046,37
92049,37
92051,37
92052,37
92054,37
92055,37
92056,37
92057,37
92058,37
92059,37
92060,37
92061,37
92064,37
92065,37
92066,37
92067,37
92068,37
92069,37
92070,37
92071,37
92072,37
92074,37
92075,37
92078,37
92079,37
92081,37
92082,37
92083,37
92084,37
92085,37
92086,37
92088,37
92090,37
92091,37
92092,37
92093,37
92096,37
92101,37
92102,37
92103,37
92104,37
92105,37
92106,37
92107,37
92108,37
92109,37
92110,37
92111,37
92112,37
92113,37
92114,37
92115,37
92116,37
92117,37
92118,37
92119,37
92120,37
92121,37
92122,37
92123,37
92124,37
92126,37
92127,37
92128,37
92129,37
92130,37
92131,37
92132,37
92133,37
92134,37
92135,37
92136,37
92137,37
92138,37
92139,37
92140,37
92142,37
92143,37
92145,37
92147,37
92149,37
92150,37
92152,37
92153,37
92154,37
92155,37
92158,37
92159,37
92160,37
92161,37
92162,37
92163,37
92164,37
92165,37
92166,37
92167,37
92168,37
92169,37
92170,37
92171,37
92172,37
92173,37
92174,37
92175,37
92176,37
92177,37
92178,37
92179,37
92182,37
92184,37
92186,37
92187,37
92190,37
92191,37
92192,37
92193,37
92194,37
92195,37
92196,37
92197,37
92198,37
92199,37
92201,33
92202,33
92203,33
92210,33
92211,33
92220,33
92222,13
92223,33
92225,33
92226,33
92227,13
92230,33
92231,13
92232,13
92233,13
92234,33
92235,33
92236,33
92239,33
92240,33
92241,33
92242,36
92243,13
92244,13
92247,33
92248,33
92249,13
92250,13
92251,13
92252,36
92253,33
92254,33
92255,33
92256,36
92257,13
92258,33
92259,13
92260,33
92261,33
92262,33
92263,33
92264,33
92266,13
92267,36
92268,36
92270,33
92273,13
92274,33
92275,13
92276,33
92277,36
92278,36
92280,36
92281,13
92282,33
92283,13
92284,36
92285,36
92286,36
92292,33
92301,36
92304,36
92305,36
92307,36
92308,36
92309,36
92310,36
92311,36
92312,36
92313,36
92314,36
92315,36
92316,36
92317,36
92318,36
92320,33
92321,36
92322,36
92323,36
92324,36
92325,36
92326,36
92327,36
92328,14
92329,36
92331,36
92332,36
92333,36
92334,36
92335,36
92336,36
92337,36
92338,36
92339,36
92340,36
92341,36
92342,36
92344,36
92345,36
92346,36
92347,36
92350,36
92352,36
92354,36
92356,36
92357,36
92358,36
92359,36
92363,36
92364,36
92365,36
92366,36
92368,36
92369,36
92371,36
92372,36
92373,36
92374,36
92375,36
92376,36
92377,36
92378,36
92382,36
92384,14
92385,36
92386,36
92389,14
92391,36
92392,36
92393,36
92394,36
92395,36
92397,36
92398,36
92399,36
92401,36
92402,36
92403,36
92404,36
92405,36
92406,36
92407,36
92408,36
92410,36
92411,36
92412,36
92413,36
92414,36
92415,36
92418,36
92423,36
92424,36
92427,36
92501,33
92502,33
